FrameTimeMillis,MemoryUsageBytes,Technique,RepeatNumber
16.4954,271170819,NoParrallel,0
16.6356,272196375,NoParrallel,0
16.5388,273420293,NoParrallel,0
16.8676,273571155,NoParrallel,0
16.4467,273433891,NoParrallel,0
16.6899,272197126,NoParrallel,0
17.3492,273376834,NoParrallel,0
15.8876,273515592,NoParrallel,0
16.6926,273373774,NoParrallel,0
17.0582,273520527,NoParrallel,0
16.3124,273422549,NoParrallel,0
16.7021,273569116,NoParrallel,0
16.6788,274254817,NoParrallel,1
16.4971,272732370,NoParrallel,1
16.7535,273916781,NoParrallel,1
16.654,273778769,NoParrallel,1
16.8732,273925064,NoParrallel,1
16.801,273824352,NoParrallel,1
16.3808,273977349,NoParrallel,1
16.7612,273831314,NoParrallel,1
16.4911,274284152,NoParrallel,1
16.6901,273780793,NoParrallel,1
17.1134,272601546,NoParrallel,1
16.1839,273782598,NoParrallel,1
16.6947,273954382,NoParrallel,2
16.5358,272757490,NoParrallel,2
16.9377,273979315,NoParrallel,2
16.6042,274134099,NoParrallel,2
16.4795,273987708,NoParrallel,2
16.5584,272758022,NoParrallel,2
16.9053,273939731,NoParrallel,2
16.5569,274085980,NoParrallel,2
16.6263,273983434,NoParrallel,2
16.8464,274138578,NoParrallel,2
16.5637,273980804,NoParrallel,2
16.5969,274135880,NoParrallel,2
13.9324,253091843,NoParrallelNoBurst,0
16.6059,253209431,NoParrallelNoBurst,0
40.1982,255307390,NoParrallelNoBurst,0
6.5371,255305693,NoParrallelNoBurst,0
20.1912,254260679,NoParrallelNoBurst,0
16.3365,255307584,NoParrallelNoBurst,0
16.9594,255305518,NoParrallelNoBurst,0
16.5362,255309770,NoParrallelNoBurst,0
16.5224,255305526,NoParrallelNoBurst,0
16.7762,255309099,NoParrallelNoBurst,0
16.6588,255311407,NoParrallelNoBurst,0
17.0445,253212059,NoParrallelNoBurst,0
16.6932,256692504,NoParrallelNoBurst,1
16.8703,254715115,NoParrallelNoBurst,1
33.2363,256809175,NoParrallelNoBurst,1
4.7084,256812812,NoParrallelNoBurst,1
29.2793,256815733,NoParrallelNoBurst,1
15.9541,256813098,NoParrallelNoBurst,1
17.626,256809526,NoParrallelNoBurst,1
15.8591,255764649,NoParrallelNoBurst,1
16.5185,256813297,NoParrallelNoBurst,1
16.7401,256813653,NoParrallelNoBurst,1
16.4532,256810925,NoParrallelNoBurst,1
17.1664,256817267,NoParrallelNoBurst,1
15.2676,256636555,NoParrallelNoBurst,2
16.9814,254656871,NoParrallelNoBurst,2
46.5373,255706123,NoParrallelNoBurst,2
5.0174,256754568,NoParrallelNoBurst,2
32.1917,256752862,NoParrallelNoBurst,2
16.3532,256754757,NoParrallelNoBurst,2
16.6438,256754767,NoParrallelNoBurst,2
16.7016,256755026,NoParrallelNoBurst,2
16.5593,256757297,NoParrallelNoBurst,2
16.6429,256754763,NoParrallelNoBurst,2
16.609,256752942,NoParrallelNoBurst,2
16.7903,256759242,NoParrallelNoBurst,2
17.1664,255467637,Standard,0
16.2123,255357300,Standard,0
16.7243,255498132,Standard,0
16.8387,255042093,Standard,0
16.9622,255490444,Standard,0
16.4113,255039662,Standard,0
16.9647,255504160,Standard,0
16.2972,255032137,Standard,0
16.8508,255498506,Standard,0
16.4732,255034427,Standard,0
16.6386,255498676,Standard,0
16.58,255043770,Standard,0
16.9056,255492413,Standard,0
16.3993,255400946,Standard,0
16.2024,255173232,Standard,1
16.47,255441184,Standard,1
17.0247,255245571,Standard,1
16.4999,255098410,Standard,1
16.691,255250485,Standard,1
16.4985,255107424,Standard,1
16.8464,255561406,Standard,1
16.5105,255058357,Standard,1
17.1289,255200572,Standard,1
16.3188,255100079,Standard,1
16.8156,255254928,Standard,1
16.4755,255100087,Standard,1
16.8494,255254690,Standard,1
16.3469,255482013,Standard,1
18.2336,253852932,Standard,2
15.1913,255704432,Standard,2
16.6755,254917358,Standard,2
16.6328,255371847,Standard,2
16.6243,254919155,Standard,2
16.6832,255377413,Standard,2
17.0067,254912251,Standard,2
16.4496,255374888,Standard,2
16.581,254919123,Standard,2
16.6259,255373175,Standard,2
16.6592,254917083,Standard,2
16.7003,255368461,Standard,2
16.8153,254919107,Standard,2
16.6316,255741238,Standard,2
